PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
9ewlb,2k5/7R/1b1K4/p7/8/8/5PnP/2r1N1R1 b - - 1 37,g2e1 g1g8 b6d8 g8d8 c8d8 h7h8,2000,77,95,11599,attraction endgame exposedKing long mate mateIn3 sacrifice,https://lichess.org/14XEsgdY/black#Some(73),
DWBQs,5k2/p3p1b1/2p2n2/3qBQp1/7r/1P3P2/P2P1R2/R5K1 w - - 3 27,a1c1 e7e6 f5g5 h4h5,2087,75,96,505,advantage middlegame short,https://lichess.org/ggnUO9Ep#Some(52),
b0n9O,4k1q1/p7/2pb4/3p3p/4p1rP/6P1/PPP1P1BK/R3QN2 w - - 1 24,h2h3 g4h4 g3h4 g8g4,2118,77,95,10865,clearance mate mateIn2 middlegame sacrifice short,https://lichess.org/j4y7IFSL#Some(46),
JtjWJ,rn2kb1r/1b3ppp/p3p3/1p2N3/2pqnB2/2N2Q2/1P3PPP/3RKB1R b Kkq - 1 12,d4b6 c3e4,2124,116,100,40,equality oneMove opening,https://lichess.org/auauKPpy/black#Some(23),
koQMp,r2q1rk1/5p2/5Rbp/4P3/p1Q3P1/P2p4/1P6/K3R3 b - - 1 37,a8c8 f6g6 g8h7 g6c6 c8c6 c4c6,2358,183,100,14,equality long middlegame pin,https://lichess.org/k66Kozwe/black#Some(73),
KEPsR,r1n2rk1/6pp/p2bp3/PbppNq2/3P1PN1/4BR2/1P4PP/R2Q2K1 b - - 3 21,c5d4 g4h6 g7h6 f3g3 g8h8 e3d4 d6e5 d4e5 f5e5 f4e5,2327,77,95,2582,advantage kingsideAttack master middlegame sacrifice veryLong,https://lichess.org/GmLh0NqL/black#Some(41),
PVFOy,2kr3r/1pp1b2p/p1n2pq1/3pp3/8/2P1PN1P/PPQB1PP1/1K1R3R b - - 3 19,g6g2 c2f5 c8b8 d1g1 g2f2 h1h2 f2g1 f3g1,2092,75,95,2252,advantage middlegame trappedPiece veryLong,https://lichess.org/feroL8LZ/black#Some(37),Englund_Gambit Englund_Gambit_Other_variations
lnWaG,8/6p1/4p2p/p1kpP3/Pp5P/1P1K4/5PP1/8 b - - 0 42,g7g5 h4g5 h6g5 g2g4,2118,75,98,320,crushing defensiveMove endgame pawnEndgame short,https://lichess.org/0tOOPTBi/black#Some(83),
50AIS,1k5r/pP3pp1/2P4p/QB2p3/3q4/3K1b2/PP6/R1B5 w - - 1 24,d3c2 f3d1 c2b1 d4e4 b5d3 e4d3,2157,74,95,7071,long mate mateIn3 middlegame,https://lichess.org/3u9OwF6u#Some(46),
uVA08,6k1/p2p2b1/3Pp2q/2P5/3P1Nn1/P1Q5/6P1/2R3K1 w - - 1 30,c3d2 h6h2 g1f1 g7h6 c1c3 h6f4,2443,79,100,173,advantage clearance endgame long,https://lichess.org/GCuvfIjm#Some(58),
bBD2Y,4rr1k/ppp4p/1b1pp2p/8/4q2N/6QP/PP3PP1/4RR1K b - - 3 19,f8f2 g3f2 b6f2 e1e4,2179,77,98,242,advantage middlegame short,https://lichess.org/QGBfEUSD/black#Some(37),
GakAO,6k1/2p2ppp/R1Pp4/1p6/8/1Pq4P/2P2PPK/2Q1r3 b - - 2 23,c3e5 f2f4 g8f8 f4e5 e1c1 e5d6,2063,76,100,182,crushing defensiveMove endgame long,https://lichess.org/t7icEGPb/black#Some(45),
Ksvph,3b4/ppkb4/4BrQR/q2pp3/8/5P2/PP3P2/R4K2 w - - 1 28,g6g7 a5a6 f1g2 a6e6,2120,77,95,8210,crushing master masterVsMaster middlegame short superGM,https://lichess.org/eTt1pTwe#Some(54),
u1p50,2r2rk1/pQ4b1/4pq2/2Nn1p2/3P2p1/8/PP3BP1/2R2RK1 b - - 0 26,f5f4 c5d7 f6h6 c1c8 f8c8 b7c8,2073,76,96,6155,crushing discoveredAttack fork long middlegame,https://lichess.org/AMKTMHiY/black#Some(51),
