PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
NRQes,rnbqk2r/p3bppp/1p2pn2/2pp4/Q2P1B2/2P1PN2/PP1N1PPP/R3KB1R b KQkq - 3 7,b8d7 a4c6 c8b7 c6b7,2231,80,90,978,crushing opening short,https://lichess.org/kTip4C2k/black#Some(13),Indian_Defense Indian_Defense_Other_variations
G88Ed,r1bq3r/p1bp1kpp/2pQpn2/6B1/4N3/2P5/PP3PPP/2KR1B1R w - - 6 16,d6c5 f6e4 g5d8 c7f4 c1c2 e4c5,2227,75,95,855,advantage long opening sacrifice,https://lichess.org/H1CCWRA8#Some(30),Sicilian_Defense Sicilian_Defense_Four_Knights_Variation
uSrqu,r1b1kb1r/p1p1pppp/8/1P6/1Q1nq3/N7/PP3PPP/R1B1KBNR w KQkq - 1 10,g1e2 d4f3 g2f3 e4b4,2094,74,92,10513,advantage discoveredAttack opening short,https://lichess.org/iPAASQHM#Some(18),Scandinavian_Defense Scandinavian_Defense_Kiel_Variation
nru2e,rnb2rk1/pppqnppp/8/2b1p1B1/2B1P3/2N2Q2/PPP2PPP/3RK1NR b K - 3 8,d7c6 f3f7 f8f7 d1d8 c6e8 d8e8,2091,74,94,10366,kingsideAttack long mate mateIn3 opening pin sacrifice,https://lichess.org/butymZqI/black#Some(15),Englund_Gambit Englund_Gambit_Other_variations
ApxKm,r2q1rk1/ppp1bppp/3p1n2/3Np1Bb/2BnP1P1/3P1N1P/PPP2P2/R2Q1RK1 b - - 0 10,h5g4 d5e7 d8e7 h3g4,2217,82,90,1289,advantage intermezzo kingsideAttack opening short,https://lichess.org/r355Faii/black#Some(19),Philidor_Defense Philidor_Defense_Other_variations
o0YoC,3qkb1r/r1pppp2/bpn5/7p/6P1/2N2N2/PP1P1PBP/R1BQK2R w KQk - 0 13,d1a4 a6f1 e1f1 a7a4,2151,78,90,1727,advantage discoveredAttack opening short,https://lichess.org/YThynowe#Some(24),Nimzowitsch_Defense Nimzowitsch_Defense_Other_variations
0SPrx,r1bq1rk1/pp4b1/1n2p1Bp/3p2p1/2p5/2P4N/PP1B1PPP/R2Q1RK1 b - - 1 19,d8f6 d1h5 e6e5 d2g5 c8g4 g5f6 g4h5 f6g7,2220,79,90,1030,advantage opening veryLong,https://lichess.org/Llx8CzfP/black#Some(37),Pirc_Defense Pirc_Defense_Other_variations
R7E6r,r1bqk2r/1p1n1ppp/2p1p3/p2n4/1b1P1B2/1QN1PN2/PP3PPP/R3KB1R w KQkq - 0 9,f4g3 a5a4 b3c2 a4a3,2222,76,94,1238,crushing opening short,https://lichess.org/Ln1eCk6V#Some(16),Queens_Gambit_Declined Queens_Gambit_Declined_Marshall_Defense
6NkO5,r1bq1rk1/pp2bppp/2n1p3/4P3/2npN3/P4N2/1P4PP/RBBQ1RK1 b - - 1 15,d8b6 d1d3 g7g6 d3c4,2399,91,90,1105,advantage opening short,https://lichess.org/ssgbNnYV/black#Some(29),Alekhine_Defense Alekhine_Defense_Four_Pawns_Attack
24BDV,r1b1k1r1/pp1nbp2/1qn1p3/2ppP3/3P1N1p/2P1Q1p1/PP2BPPP/RNBR2K1 w q - 0 15,f2g3 c5d4 c3d4 c6d4,2081,75,90,843,advantage opening short,https://lichess.org/bNxYvt92#Some(28),Sicilian_Defense Sicilian_Defense_Other_variations
hr7Lh,rnb1kbnr/p4ppp/4p3/q7/2BP4/4P3/P1PN1PPP/R1BQK2R b KQkq - 0 10,c8a6 d1f3 a6c4 f3a8 f8d6 a1b1,2330,78,91,4542,advantage long opening pin trappedPiece,https://lichess.org/rsK4mgiY/black#Some(19),Queens_Pawn_Game Queens_Pawn_Game_Zukertort_Variation
OkxBu,rnbqk2r/pp3ppp/4pn2/2b3B1/2Pp4/2N2N2/PP2PPPP/R2QKB1R w KQkq - 0 8,c3e4 f6e4 g5d8 c5b4 f3d2 b4d2 d1d2 e4d2,2137,80,90,1074,advantage opening sacrifice veryLong,https://lichess.org/KyYhG8Hr#Some(14),Queens_Gambit_Declined Queens_Gambit_Declined_Semi-Tarrasch_Defense
6zn2a,r1bqk2r/ppp3pp/2np3B/2b1pp2/2B1P3/3P3N/PPP2PPP/RN1QK2R b KQkq - 0 7,g7h6 d1h5 e8d7 h5f5 d7e7 f5f7,2092,76,95,9644,exposedKing long mate mateIn3 opening,https://lichess.org/XgavJhkw/black#Some(13),Bishops_Opening Bishops_Opening_Boi_Variation
4C5Tn,rn2kb1r/pQ3ppp/1qp5/3pPb2/4n3/5N1P/PPP2PP1/RNB1KB1R w KQkq - 1 9,b7a8 b6f2 e1d1 e4c3 b1c3 f5c2,2005,81,92,127589,attackingF2F7 discoveredAttack long mate mateIn3 opening,https://lichess.org/fKdE96uB#Some(16),Philidor_Defense Philidor_Defense_Other_variations
qLuoY,r1br2k1/pp3ppp/8/1BPqn3/1P1Nn3/P1B5/5PPP/R2Q1RK1 w - - 1 17,d4e2 e5f3 g2f3 d5g5,2050,75,91,597,clearance crushing kingsideAttack opening sacrifice short,https://lichess.org/KQmCP5OG#Some(32),Caro-Kann_Defense Caro-Kann_Defense_Panov_Attack
GsNsH,r2q1rk1/p4ppp/1pn1pb2/3b4/8/1P3NP1/PB2PPBP/RQ3RK1 b - - 4 14,a8c8 b2f6 d8f6 e2e4,2288,77,93,4211,advantage master opening short,https://lichess.org/6QgFrvAg/black#Some(27),English_Opening English_Opening_Anglo-Indian_Defense
V8z42,r1bqkb1r/pp3ppp/2n1pn2/2p3N1/8/2Np2P1/PPP2PBP/R1BQ1RK1 b kq - 1 8,d3c2 g2c6 b7c6 d1d8 e8d8 g5f7 d8e8 f7h8,2057,76,91,1648,advantage attraction fork opening veryLong,https://lichess.org/6NakmVKr/black#Some(15),Sicilian_Defense Sicilian_Defense_French_Variation
ggNNo,r1bqk2r/1pp2ppp/p1n5/4p3/4P1n1/PBNP4/2P2PPP/R1BQ1RK1 w kq - 3 11,f2f4 d8d4 g1h1 d4c3,2179,77,91,119,advantage fork opening short,https://lichess.org/gln0FU88#Some(20),Vienna_Game Vienna_Game_Stanley_Variation
8SC7L,rnb1kr2/pppp1Npp/8/4p3/2B1n2q/5QP1/PPPP1b1P/RNBK3R b q - 0 8,e4g5 f7d6 c7d6 f3f8 e8f8 g3h4,2314,82,100,46,advantage discoveredAttack long opening,https://lichess.org/bsIPzZhD/black#Some(15),Kings_Pawn_Game Kings_Pawn_Game_Busch-Gass_Gambit
Jajfr,r3kbnr/pp2pppp/2n5/2p1q3/8/5BPP/PPPP1P2/RNBQK2R w KQkq - 1 8,d1e2 c6d4 e2e5 d4f3 e1d1 f3e5,2164,76,94,1140,advantage fork long opening sacrifice,https://lichess.org/8oMTiun8#Some(14),Sicilian_Defense Sicilian_Defense_Lasker-Dunne_Attack
AAH7r,r2qkb1r/pQpn1ppp/4bn2/3p4/8/6P1/PP1PPPBP/RNB1K1NR w KQkq - 1 7,g1f3 d7c5 b7b5 c7c6,2368,87,90,2154,advantage defensiveMove opening short,https://lichess.org/TNUp7HCU#Some(12),Hungarian_Opening Hungarian_Opening_Other_variations
YQ511,r1q1kb1r/pb1n1ppp/4p3/1QP1N3/3P4/4P3/5PPP/1RB1K2R b Kkq - 2 17,a8b8 e5d7 c8d7 c5c6,2145,77,90,844,advantage opening short,https://lichess.org/p7RcFa8a/black#Some(33),Slav_Defense Slav_Defense_Other_variations
gtyod,r1b1k1r1/ppq1b1Bp/4p1n1/3p3Q/NP6/P7/5PPP/R3KB1R w KQq - 1 17,h5h7 g8g7 h7g7 e7b4 a3b4 c7g7,2013,75,96,2338,crushing discoveredAttack long opening,https://lichess.org/NUKXtNlL#Some(32),Alekhine_Defense Alekhine_Defense_Maroczy_Variation
4ge38,rn1qk2r/pp3ppp/3bp3/2pp4/2PPn3/P3PQ1P/1P2BPP1/RNB1K2R w KQkq - 3 9,b1c3 e4g5 f3h5 g7g6 h5h6 d6f8,2185,75,94,1910,crushing long opening,https://lichess.org/N4eTtd1k#Some(16),Queens_Gambit_Declined Queens_Gambit_Declined_Marshall_Defense
mz8r8,r2qk2r/pppbbppp/5n2/1B2Q3/8/2N5/PPP2PPP/R1B1K2R w KQkq - 1 10,c3d5 f6d5 e5d5 c7c6,2193,75,99,187,advantage opening short,https://lichess.org/R2evlX3d#Some(18),Four_Knights_Game Four_Knights_Game_Scotch_Variation_Accepted
Dj9Zs,2kr1bnr/ppp1pppp/2n5/2q1P3/3P1Pb1/2N2N2/PP2B1PP/R1BQK2R b KQ - 0 9,c6d4 f3d4 g4e2 c3e2,2053,75,94,13407,advantage opening short,https://lichess.org/VucotVh9/black#Some(17),Scandinavian_Defense Scandinavian_Defense_Other_variations
zwft1,r2q1rk1/p1p1bppp/2p2n2/6B1/2Bp2b1/8/PPP2PPP/RN1QR1K1 w - - 2 11,g5f6 g4d1 f6e7 f8e8,2102,75,94,4923,advantage opening short,https://lichess.org/jhPQlxWX#Some(20),Russian_Game Russian_Game_Modern_Attack
USr4m,rnbqk2r/ppp2ppp/3b4/8/2P3n1/4P3/PP3PPP/RNBQKBNR w KQkq - 0 6,g1e2 g4f2 e1f2 d6g3 e2g3 d8d1,2276,75,92,7219,advantage attackingF2F7 attraction discoveredAttack long opening sacrifice,https://lichess.org/hn46h5yH#Some(10),Indian_Defense Indian_Defense_Budapest_Defense
qcMJY,r1bqkb1r/pp1ppp1p/1nn3p1/4P1N1/8/1Q6/PPP2PPP/RNB1KB1R b KQkq - 6 8,c6e5 c1f4 f8h6 f4e5,2138,78,90,967,advantage opening short,https://lichess.org/2jXooCqi/black#Some(15),Sicilian_Defense Sicilian_Defense_Hyperaccelerated_Fianchetto
o5EO8,r1bqr1k1/pppp1ppp/1nn5/4P3/8/1BP2N2/P2B1PPP/R2Q1RK1 b - - 6 14,c6e5 d2g5 e5f3 d1f3 d7d5 g5d8,2163,75,93,1043,crushing long opening,https://lichess.org/ygCdvXP5/black#Some(27),French_Defense French_Defense_Steiner_Variation
ktrBE,rn1qk2r/pppb1pp1/3pp2p/7n/3PPQ1P/2N2N2/PPP2PP1/R3KB1R w KQkq - 1 10,f4g4 e6e5 g4h5 g7g6 h5e5 d6e5,2122,77,95,2372,crushing long opening sacrifice trappedPiece,https://lichess.org/qiagYE1A#Some(18),Indian_Defense Indian_Defense_Other_variations
KF6HT,2kr1b1r/ppp2ppp/5n2/4p3/4q3/1NP2b1P/PP1BN1P1/R2QKB1R w KQ - 0 14,g2f3 e4h4 e2g3 h4g3 e1e2 e5e4,2150,80,91,1811,crushing exposedKing long opening,https://lichess.org/hgRt27YO#Some(26),Scandinavian_Defense Scandinavian_Defense_Main_Line
P8nvC,r2qk2r/1p1b1ppp/pnn1p3/2bpP3/5P2/P1NB4/1PP1Q1PP/R1B1K1NR w KQkq - 2 11,c1e3 c5e3 e2e3 d5d4 e3g3 d4c3 g3g7 h8f8,2302,76,93,3574,crushing defensiveMove fork opening veryLong,https://lichess.org/WqnkGqHf#Some(20),French_Defense French_Defense_Classical_Variation
cHiyS,rnb2r2/pp2p1kp/2q1Pppn/3N4/3Q4/5N2/PPP2PPP/R3KB1R w KQ - 1 14,d5e7 c6e6 d4e3 f8e8 e3e6 c8e6,2222,81,90,1307,advantage fork long opening,https://lichess.org/Pj93HaSW#Some(26),Sicilian_Defense Sicilian_Defense_Hyperaccelerated_Dragon
dnZjY,rnbqkbnr/pp4pp/4p3/2ppN3/3P4/2NB4/PPP2PPP/R1BQK2R b KQkq - 0 7,c5d4 d1h5 g7g6 d3g6,2051,79,94,8400,crushing opening short,https://lichess.org/xBNurWJL/black#Some(13),Caro-Kann_Defense Caro-Kann_Defense_Advance_Variation
gbREY,2kr1b1r/ppp2p2/2n1p2p/6pn/3P4/2P2N1q/PP1NBP1B/R2Q1RK1 w - - 0 14,f3e5 h5f4 h2f4 g5f4 e2g4 h8g8,2121,75,91,1362,advantage long opening pin,https://lichess.org/eaI7z2wz#Some(26),Scandinavian_Defense Scandinavian_Defense_Portuguese_Variation
HLoVO,r2qkb1r/pp2pppp/2n2n2/3p3b/3P4/3B1N1P/PPPN1PP1/R1BQ1RK1 b kq - 4 8,c6d4 g2g4 d4c6 g4h5,2088,77,92,2464,advantage opening short,https://lichess.org/SIStAGsn/black#Some(15),Caro-Kann_Defense Caro-Kann_Defense_Other_variations
uLeCH,r3kbnr/ppp2p1q/3p4/7p/2BpP1b1/3P1N1P/PPPB1PP1/R2Q1RK1 w kq - 1 12,h3g4 h5g4 c4f7 e8d8 d2g5 f8e7 f3h4 e7g5,2382,98,90,1332,advantage opening veryLong,https://lichess.org/nWwPrY9C#Some(22),Italian_Game Italian_Game_Blackburne-Kostic_Gambit
eL2gm,r2q1rk1/2pbbpp1/p1np1n1p/1p6/3NPP1B/1BN5/PPP3PP/R2Q1RK1 b - - 1 12,f6g4 d4c6 d7c6 h4e7 d8e7 d1g4,2213,76,90,957,advantage long opening,https://lichess.org/GZha94mV/black#Some(23),Scotch_Game Scotch_Game_Other_variations
xvGMW,r1bqk2r/pp1p1ppp/2n2n2/2bNp1B1/8/5N2/PPP1PPPP/R2QKB1R b KQkq - 1 6,c5f2 e1f2 f6e4 f2e1 e4g5 f3g5 d8g5 d5c7,2177,78,90,1621,advantage hangingPiece opening veryLong,https://lichess.org/CL2m4VMh/black#Some(11),Benoni_Defense Benoni_Defense_Benoni_Gambit_Accepted
abQR3,rnbq1rk1/6bp/p2pppp1/1p6/3NPN1B/7P/PPP2PP1/R2Q1RK1 b - - 1 13,f8e8 d4e6 c8e6 f4e6 e8e6 d1d5,2043,75,95,2250,crushing long opening pin sacrifice,https://lichess.org/cbGCav4W/black#Some(25),Sicilian_Defense Sicilian_Defense_Dragon_Variation
N5cPR,r2qk2r/ppp2ppp/2n1b3/3Pp3/4n3/5NP1/P1PPQPBP/R1B1K2R b KQkq - 0 9,e6d5 c2c4 e4c5 c4d5,2272,85,90,779,advantage master masterVsMaster opening short,https://lichess.org/oAQCgnoc/black#Some(17),Kings_Knight_Opening Kings_Knight_Opening_Konstantinopolsky
QJOyL,rnb2rk1/ppp2ppp/5q2/2np4/1PB5/3P1N2/P1P3PP/RNBQ2KR w - - 0 10,b4c5 f6a1 c4b3 a1b1,2068,76,90,969,advantage hangingPiece opening short,https://lichess.org/94LFYIvB#Some(18),Russian_Game Russian_Game_Italian_Variation
CqabX,r1q2rk1/ppp1Qpp1/n6p/5n2/5Pb1/P1N2NB1/1PP3PP/2KR1B1R w - - 1 17,e7d7 c8d7 d1d7 f5g3 h2g3 g4d7,2031,76,95,4417,advantage discoveredAttack long opening,https://lichess.org/9nuX5HPA#Some(32),Center_Game Center_Game_Normal_Variation
ghPTc,r2qkbnr/pQp2ppp/4p3/8/1npP4/2N2P2/PP3PPP/R1B1KB1R w KQkq - 1 8,c3b5 a8b8 b5c7 e8d7 b7a7 d8c7 a7c7 d7c7,2298,75,94,2128,advantage defensiveMove opening veryLong,https://lichess.org/wOOW1HPF#Some(14),Queens_Gambit_Declined Queens_Gambit_Declined_Chigorin_Defense
lsao7,r1b2rk1/pp2ppbp/1q1p2p1/8/4PPn1/2NQ2P1/PPP3BP/R1B2R1K b - - 2 12,g4f2 f1f2 g7c3 b2c3 b6f2 c1e3 f2e3 d3e3,2276,75,92,1609,advantage opening sacrifice trappedPiece veryLong,https://lichess.org/os8Q44nO/black#Some(23),Sicilian_Defense Sicilian_Defense_Classical_Variation
5zw8l,r1b2rk1/p1pqppbp/1pn3p1/4P3/8/5N2/PPPBBPPP/R2QR1K1 b - - 0 12,c6e5 f3e5 g7e5 e2f3 e5b2 a1b1,2167,76,90,779,advantage clearance long opening,https://lichess.org/fEODNUlG/black#Some(23),Scandinavian_Defense Scandinavian_Defense_Mieses-Kotroc_Variation
jeO18,r2qrb2/2pb1p1k/p2p1npp/1p1Np3/2P1P3/1P1P1N1P/1P1B1PP1/R1Q1R1K1 b - - 1 19,c7c6 d2a5 f6d5 a5d8,2066,76,92,752,crushing opening short,https://lichess.org/ebWquylD/black#Some(37),
yLcoQ,r1bq1rk1/p3npbp/1pn3p1/2Pp2B1/8/2N2NP1/PP2PPBP/R2Q1RK1 w - - 0 11,c3d5 d8d5 g5e7 d5d1 a1d1 c6e7,2015,76,92,1943,advantage long opening,https://lichess.org/BaoYzE1U#Some(20),Modern_Defense Modern_Defense_Other_variations
tbe0d,r1bqk2r/pp2ppbp/2np1np1/8/2B1P3/2N2N2/PP2QPPP/R1BR2K1 b kq - 1 9,f6d7 c4f7 e8f7 f3g5 f7e8 g5e6,2023,76,92,1781,advantage attackingF2F7 attraction long opening sacrifice,https://lichess.org/UgXUOHNY/black#Some(17),Sicilian_Defense Sicilian_Defense_Smith-Morra_Gambit_Accepted
dSvS9,r1b1k2r/1pppqp2/pb3n1p/4B1p1/3PP3/2N4P/PPP2PP1/R2QKB1R w KQkq - 1 12,c3d5 f6d5 e5h8 b6a5 c2c3 d5c3,2435,102,90,1000,advantage long opening pin sacrifice,https://lichess.org/doC3IrSV#Some(22),Kings_Knight_Opening Kings_Knight_Opening_Normal_Variation
PXjgh,rnbqkb1r/pp1n1p1p/4p1p1/2ppP3/3P1Q2/2N2N2/PPP2PPP/R1B1KB1R b KQkq - 5 9,b8c6 f3g5 d8e7 c3b5,2029,77,91,931,advantage opening short,https://lichess.org/OxiIUxoX/black#Some(17),French_Defense French_Defense_Classical_Variation
DJTfE,r1bqk1r1/ppp2p2/3p1n1p/2b1p3/2BnP1pP/3PB3/PPP2PPN/RN1Q1RK1 w q - 1 11,c2c3 d4f3 h2f3 g4f3 d1f3 c8g4,2089,81,90,122,advantage clearance kingsideAttack long opening pin,https://lichess.org/Z63LXFHx#Some(20),Ruy_Lopez Ruy_Lopez_Berlin_Defense
FbSEK,r3k1nr/pp3ppp/3b4/4qb2/8/3Q4/PPP1NPPP/RNB1K2R w KQkq - 1 12,c1f4 f5d3 f4e5 d6e5,2149,77,91,1227,crushing opening short,https://lichess.org/rBLmjgax#Some(22),Scandinavian_Defense Scandinavian_Defense_Blackburne_Gambit
rZkci,rnbq1rk1/ppp1bpp1/7p/3p4/3P1Bn1/2NQ4/PPP2PPP/2KR1BNR w - - 2 9,d3g3 e7h4 g3f3 g4f2 g2g3 f2d1 g3h4 d1c3,2116,75,93,3889,advantage fork opening veryLong,https://lichess.org/jL6IVw8z#Some(16),French_Defense French_Defense_Exchange_Variation
kZGpE,r2q1rk1/ppp3pp/2nppn2/2b3N1/3PP3/8/PP3PPP/RNBQR1K1 b - - 0 10,c5d4 g5e6 d4f2 g1f2 f6g4 f2g3,2368,88,90,465,advantage fork long opening,https://lichess.org/dnOzvUZE/black#Some(19),Scotch_Game Scotch_Game_Haxo_Gambit
HfTF0,r1b1k2r/1pq1b1pp/p1nppn2/8/3NP3/2N5/PPP1B1PP/R1BQ1RK1 w kq - 0 11,e2c4 c6d4 d1d4 d6d5,2166,77,94,4109,crushing opening short,https://lichess.org/5K5Bh2kk#Some(20),Sicilian_Defense Sicilian_Defense_Scheveningen_Variation
K9mNF,r1bq1rk1/p3ppbp/1pn2np1/3p4/2PP4/1P3NP1/PB3PBP/RN1Q1RK1 b - - 1 10,d5c4 f3e5 c6e5 d4e5 d8d1 f1d1,2232,80,90,153,advantage long opening,https://lichess.org/Dv0nMqJ4/black#Some(19),English_Opening English_Opening_Anglo-Indian_Defense
2xJae,rn1qk1nr/ppp2Bpp/3p4/8/4P1bb/5Np1/PPPP3P/RNBQ1R1K b kq - 0 8,e8f7 f3h4 g8f6 d1g4,2085,79,90,1537,crushing discoveredAttack opening pin short,https://lichess.org/HcDqxudW/black#Some(15),Kings_Gambit_Accepted Kings_Gambit_Accepted_Cunningham_Defense
Q1zG6,r1bq1rk1/2p2pp1/p1np1bnp/1p2p3/4P3/P2PBNNP/BPP2PP1/R1Q2RK1 w - - 14 14,e3h6 g7h6 c1h6 g6f4 g3h5 f4h5,2368,165,100,15,equality long opening,https://lichess.org/ZvgMOrsU#Some(26),
qrKq7,r1bqk2r/ppp1bp1p/6p1/3Bp1N1/7Q/3P4/PPn2PPP/RNB1K2R w KQkq - 0 10,e1f1 d8d5 h4a4 d5c6 a4c6 b7c6,2162,78,91,1828,crushing hangingPiece long opening,https://lichess.org/QEavqST6#Some(18),Italian_Game Italian_Game_Two_Knights_Defense
2oZoK,r2qbr1k/pp4pp/1nnb4/4NB2/3Pp3/7Q/PP3PPP/R1B2RK1 b - - 2 16,h7h6 c1h6 f8f5 h6g5 h8g8 g5d8,2013,74,95,997,advantage discoveredAttack kingsideAttack long opening sacrifice,https://lichess.org/XJXwDhh3/black#Some(31),Caro-Kann_Defense Caro-Kann_Defense_Accelerated_Panov_Attack
JdKHA,r2q1rk1/pbpnp1bp/1pn1p1p1/8/8/2P2NP1/PP1NQPBP/R1B2RK1 b - - 1 12,c6e5 f3e5 b7g2 e5d7 g2f1 e2e6,2243,76,96,1907,crushing discoveredAttack kingsideAttack long opening,https://lichess.org/ji3AOtIg/black#Some(23),Zukertort_Opening Zukertort_Opening_Pirc_Invitation
bCXUO,2rqk2r/1p2npbp/p3b3/3ppP2/P2p4/N2P2P1/1PPB2BP/R2Q1RK1 b k - 0 15,e6f5 f1f5 e7f5 d1g4 e8g8 g4f5,2150,74,93,3698,advantage long opening sacrifice,https://lichess.org/K4GFChCW/black#Some(29),Sicilian_Defense Sicilian_Defense_Closed
8rrLZ,r1b1kb1r/2pp1ppp/2n4B/pp2q3/4P3/1B3Q2/PPP2PPP/RN3RK1 b kq - 0 10,f8d6 f3f7 e8d8 f2f4 e5d4 g1h1,2082,77,90,358,advantage attackingF2F7 long opening,https://lichess.org/YPmxzvPR/black#Some(19),Italian_Game Italian_Game_Other_variations
txr3n,rn1qk2r/ppp2ppp/3bp3/3p1b2/3Pn3/2PB1N2/PP1N1PPP/R1BQ1RK1 b kq - 0 7,e4f2 d1a4 d8d7 a4d7 b8d7 d3f5,2156,77,90,119,advantage long master opening,https://lichess.org/vA9io4Sx/black#Some(13),Zukertort_Opening Zukertort_Opening_Lemberger_Gambit
ckmFN,r1bqr1k1/pp2ppbp/1nn3p1/1B6/3P4/P1N2NBP/1P3PP1/R2QK2R b KQ - 3 12,g7d4 f3d4 d8d4 d1d4 c6d4 b5e8,2077,77,90,484,crushing long opening,https://lichess.org/E4SBaatO/black#Some(23),Indian_Defense Indian_Defense_Other_variations
itUBC,rnbqkb1r/1p1p1ppp/p3pn2/8/3N1B2/6P1/PPP1PP1P/RN1QKB1R w KQkq - 1 6,f1g2 e6e5 f4e5 d8a5 b1c3 a5e5,2055,75,94,7073,advantage fork long opening,https://lichess.org/EzllTyuI#Some(10),Benoni_Defense Benoni_Defense_Old_Benoni
Z2C0T,r1b1k2r/p4ppp/1qpb1n2/nB2p1N1/8/2N2Q2/PPPP1PPP/R1B1K2R w KQkq - 4 10,d2d3 c8g4 f3g3 c6b5,2047,75,96,5178,advantage opening short,https://lichess.org/5bPfd4wP#Some(18),Italian_Game Italian_Game_Two_Knights_Defense
RIaVf,r1bqkb1r/1p1p1ppp/p4n2/2pN4/2n5/6P1/PP3PBP/R1BQK1NR b KQkq - 0 9,d8a5 b2b4 c5b4 d1e2,2166,77,92,391,advantage defensiveMove opening short,https://lichess.org/etKyiHDC/black#Some(17),English_Opening English_Opening_Symmetrical_Variation
tkc0w,r2qkb1r/1b1n1ppp/p3pn2/1pp1N3/3P4/1BP5/PP3PPP/RNBQR1K1 b kq - 0 10,c5d4 e5f7 e8f7 b3e6,2032,77,92,635,attackingF2F7 attraction crushing opening short,https://lichess.org/43BKUqGF/black#Some(19),Sicilian_Defense Sicilian_Defense_Modern_Variations
MUBxh,r2q1rk1/pp3pp1/4pn2/3p1bP1/1b1N4/1PN5/1PP2PP1/R2QK2R b KQ - 0 14,f6e4 d1h5 b4c3 b2c3 f7f6 d4f5,2459,77,91,1882,crushing long opening,https://lichess.org/6f9Oew6k/black#Some(27),Caro-Kann_Defense Caro-Kann_Defense_Hillbilly_Attack
kV2AA,rn2qrk1/1b2b1pn/p2pp1P1/1pp1Np2/3P1B2/2P1P3/PPB2PP1/R2Q1K1R b - - 0 15,d6e5 d1h5 e8g6 h5g6,2074,77,91,3220,crushing opening short,https://lichess.org/2ztUwEJ3/black#Some(29),Dutch_Defense Dutch_Defense_Other_variations
